topic_id	topic_words	topic_weight	year
49	helsinki posti lähteä sunnuntai päivä tiistai juna pietari maanantai konttori	0.006917143789645	1856
50	lilo tiistaisin perjantaisin postilaitos munkki 10—11 sunnuntaisin punainen risti lauvantaa	0.00165286708976	1856
1	lintu käärme metalli pesä oksa kääntää pussi tina pakana kirkas	0.003716714890407	1857
2	kuningas eläin tuuli luokka lehmä tyyni herttua voida sonni sade	0.011609238341753	1857
3	kirkko pastori saarna past saarnata ruotsalainen sunnuntai seurakunta pitää iltasaarna	0.005380193933973	1857
4	unkari kreivi unkarilainen varsinainen opett kansallisuus kieli rakennus virta sena	0.002362440934389	1857
5	lukea pitää selä lautta mies tuoda taka muta lehti toimi	0.016037453084616	1857
6	suomi määrätä keisarillinen pitää markka majesteetti asetus mainita helsinki senaatti	0.018375300081765	1857
7	kuopio lääni tapio savo rautalampi karttula oulu suonenjoki dahlström herra	0.017711497709242	1857
8	vuosi päivä markka kaupunki sanoa maksaa pitäjä tynnyri mainita suomi	0.03300012064876	1857
9	till tili kello kaupunki samt tieto talo päivä penni oulu	0.003463964995573	1857
10	mikkeli rantasalmi kangasniemi joroinen myymälä aleksanterinkatu joutsa kerimäki puumala mikkelinen	0.009310381951135	1857
11	sääty mietintö ehdotus esitys valiokunta kysymys puhuja pitää ehdottaa anomus	0.007473825898703	1857
12	palaa tulipalo tuli poro lokak lapsi syttyä susi polttaa rakennus	0.011797805502047	1857
13	ilmoittaa päivä pitäjä marraskuu huutokauppa pesä oikeus mainita kylässä kello	0.012355105670269	1857
14	hämeenlinna helsinki seteli vainaa marrask entää tampere häme marrast mina	0.009401316288596	1857
15	pitää seura lääni kokous mainita ilmoittaa määrätä suomi helsinki toimi	0.051217154626525	1857
16	vuosi kaupunki joulukuu tammikuu markka henki joulu suomi kuollut yhtiö	0.016144712506885	1857
17	talollinen juho kauppias torppari kaarle kustaa matti wilhelm heikki juhana	0.005016704350007	1857
18	pitää raha metsä maksaa tukea ihminen sanoa talo panna pelto	0.080871671292739	1857
19	lappi lappalainen norja norjalainen virkamies sikäläinen pappi hakea posti kartoittaa	0.005309060287258	1857
